Stkcd,Company_name,Year,Tier,Total_assets,Total_liabilities,Operating_income,Net_profit,Equity,Debt_to_Asset_Ratio,Equity_Ratio,ROE,ROA,Profit_Margin,Asset_Scale_Trillion
002948,QDYH,2024,Regional (<1T),689963033000.0,645063204000.0,2716533000.0,44899829000.0,967448000.0,0.9349242976036369,0.0014021736726871857,46.410586408778556,0.06507570239636302,16.528357652934826,0.689963033
002958,QNSH,2020,Regional (<1T),406811073000.0,377108681000.0,479959000.0,29702392000.0,860710000.0,0.9269872577927593,0.002115748702838283,34.5091749834439,0.07301274220724076,61.88526936675841,0.406811073
002958,QNSH,2021,Regional (<1T),430787852000.0,397127711000.0,595515000.0,33660141000.0,875840000.0,0.9218637646263061,0.002033112112920027,38.43183800694191,0.07813623537369387,56.52274250018891,0.430787852
002958,QNSH,2022,Regional (<1T),444211531000.0,408129666000.0,664386000.0,36081865000.0,875185000.0,0.9187732364381149,0.00197019874299481,41.22770042905214,0.08122676356188512,54.3085871767316,0.444211531
002958,QNSH,2023,Regional (<1T),467936769000.0,428887839000.0,768731000.0,39048930000.0,938716000.0,0.916550840654285,0.0020060744574658547,41.59823631428462,0.08344915934571494,50.79661155852958,0.467936769
002958,QNSH,2024,Regional (<1T),495032420000.0,453921297000.0,1337397000.0,41111123000.0,363983000.0,0.9169526654436088,0.0007352710353798646,112.94792064464549,0.08304733455639128,30.739655465056373,0.49503242
002966,SZYH,2020,Regional (<1T),388068080296.0,356837134537.0,162080681.0,31230945759.0,1500777796.0,0.9195219928029676,0.0038673054347971047,20.809839965809303,0.08047800719703231,192.68765139874998,0.388068080296
002966,SZYH,2021,Regional (<1T),453029020092.0,418740192325.0,403871009.0,34288827767.0,1642877462.0,0.9243120721934398,0.0036264287476911934,20.87120224125395,0.07568792780656018,84.90044346560167,0.453029020092
002966,SZYH,2022,Regional (<1T),524548689036.0,484086673129.0,303941862.0,40462015907.0,1932791548.0,0.9228631836229352,0.0036846752044162514,20.934495470486194,0.0771368163770648,133.12419566278763,0.524548689036
002966,SZYH,2023,Regional (<1T),601841456223.0,554175309985.0,976662873.0,47666146238.0,2186160901.0,0.9207994967027691,0.003632453162531833,21.80358555319346,0.07920050329723097,48.80511746247162,0.601841456223
002966,SZYH,2024,Regional (<1T),693714073375.0,638458311182.0,1667795565.0,55255762193.0,2344710846.0,0.9203479296244139,0.003379938415538707,23.566130675458137,0.0796520703755861,33.131016386291925,0.693714073375
600000,PFYH,2020,Large (>5T),7950218000000.0,7304401000000.0,3976000000.0,645817000000.0,7620000000.0,0.918767384743412,0.000958464283620902,84.75288713910761,0.08123261525658794,162.42882293762577,7.950218
600000,PFYH,2021,Large (>5T),8136757000000.0,7458539000000.0,2821000000.0,678218000000.0,8211000000.0,0.9166476275498949,0.001009124396857372,82.59870904883692,0.08335237245010513,240.41758241758242,8.136757
600000,PFYH,2022,Large (>5T),8704651000000.0,7997876000000.0,-3053000000.0,706775000000.0,8903000000.0,0.9188049009661616,0.0010227865539928023,79.38616196787599,0.08119509903383834,-231.5018015067147,8.704651
600000,PFYH,2023,Large (>5T),9007247000000.0,8274363000000.0,2107000000.0,732884000000.0,8135000000.0,0.9186339621862263,0.0009031616430636353,90.09022741241549,0.08136603781377373,347.8329378262933,9.007247
600000,PFYH,2024,Large (>5T),9461880000000.0,8717099000000.0,13036000000.0,744781000000.0,8452000000.0,0.9212861503210779,0.0008932685681915222,88.11890676762896,0.07871384967892216,57.132632709420065,9.46188
600015,HXYH,2020,Mid-size (1T-5T),3399816000000.0,3117161000000.0,-714000000.0,282655000000.0,2042000000.0,0.916861677220179,0.0006006207394753127,138.42066601371204,0.08313832277982103,-395.875350140056,3.399816
600015,HXYH,2021,Mid-size (1T-5T),3676287000000.0,3375585000000.0,833000000.0,300702000000.0,2410000000.0,0.918204971483456,0.000655552735681409,124.77261410788381,0.08179502851654401,360.98679471788716,3.676287
600015,HXYH,2022,Mid-size (1T-5T),3900167000000.0,3576845000000.0,-1581000000.0,323322000000.0,2865000000.0,0.9171004728771871,0.0007345839293548199,112.85235602094241,0.08289952712281294,-204.50474383301707,3.900167
600015,HXYH,2023,Mid-size (1T-5T),4254766000000.0,3933004000000.0,-803000000.0,321762000000.0,3183000000.0,0.9243760996491934,0.000748102245810933,101.08765315739868,0.0756239003508066,-400.6998754669988,4.254766
600015,HXYH,2024,Mid-size (1T-5T),4379952000000.0,4050596000000.0,789000000.0,329356000000.0,3296000000.0,0.9248037421414664,0.0007525196623159341,99.92597087378641,0.07519625785853361,417.4347275031686,4.379952
600016,MSYH,2020,Large (>5T),7142641000000.0,6603764000000.0,477000000.0,538877000000.0,11460000000.0,0.9245549370323946,0.0016044485506131415,47.022425828970334,0.0754450629676054,1129.7211740041928,7.142641
600016,MSYH,2021,Large (>5T),7069708000000.0,6482413000000.0,-1219000000.0,587295000000.0,11859000000.0,0.9169279693022682,0.0016774384458311433,49.52314697697951,0.0830720306977318,-481.7842493847416,7.069708
600016,MSYH,2022,Large (>5T),7320580000000.0,6717869000000.0,-693000000.0,602711000000.0,12551000000.0,0.9176689551920749,0.0017144816394329412,48.020954505617084,0.08233104480792505,-869.7128427128428,7.32058
600016,MSYH,2023,Large (>5T),7674965000000.0,7037164000000.0,2022000000.0,637801000000.0,13199000000.0,0.91689851354371,0.0017197472561764125,48.321918327145994,0.08310148645629002,315.4307616221563,7.674965
600016,MSYH,2024,Large (>5T),7814969000000.0,7158401000000.0,7192000000.0,656568000000.0,13709000000.0,0.91598584716075,0.0017541976174185719,47.893208840907434,0.0840141528392499,91.29143492769744,7.814969
600036,ZSYH,2020,Large (>5T),8361448000000.0,7631094000000.0,7448000000.0,730354000000.0,6604000000.0,0.9126522104783765,0.0007898153525561602,110.59267110841914,0.08734778952162353,98.06041890440386,8.361448
600036,ZSYH,2021,Large (>5T),9249021000000.0,8383340000000.0,12942000000.0,865681000000.0,6936000000.0,0.9064029587563917,0.0007499172074536321,124.80983275663206,0.09359704124360838,66.88927522794005,9.249021
600036,ZSYH,2022,Large (>5T),10138912000000.0,9184674000000.0,13975000000.0,954238000000.0,8735000000.0,0.9058835898763102,0.0008615322827538103,109.2430452203778,0.0941164101236898,68.28178890876565,10.138912
600036,ZSYH,2023,Large (>5T),11028483000000.0,9942754000000.0,16682000000.0,1085729000000.0,9359000000.0,0.9015522805811098,0.0008486207939931539,116.00908216689817,0.09844771941889016,65.08386284618152,11.028483
